1591440300.0,9673.84000000,9686.00000000,9673.19000000,9681.84000000,83.72574100,1591440599999,810603.44661709,1537,34.43470000,333394.93386047,0
1591440600.0,9681.60000000,9684.16000000,9671.01000000,9673.93000000,77.17225300,1591440899999,746992.69818656,1243,17.58799100,170237.57905069,0
1591440900.0,9673.71000000,9679.72000000,9670.01000000,9673.04000000,79.12341000,1591441199999,765543.70260063,1050,33.65162400,325610.55850109,0
1591441200.0,9674.83000000,9687.99000000,9674.83000000,9679.99000000,105.39789500,1591441499999,1020529.78278007,1421,50.88939300,492714.40249863,0
1591441500.0,9680.12000000,9682.41000000,9673.81000000,9680.49000000,84.81777000,1591441799999,820981.68337519,1493,29.12798800,281937.62078194,0
1591441800.0,9678.81000000,9683.70000000,9670.91000000,9674.03000000,113.34582000,1591442099999,1096983.26931651,1407,45.97046100,444858.51012228,0
1591442100.0,9674.65000000,9676.42000000,9665.20000000,9672.04000000,74.43209300,1591442399999,719831.37311018,1313,21.87446600,211567.45179392,0
1591442400.0,9672.80000000,9679.57000000,9669.57000000,9673.12000000,64.49805500,1591442699999,623998.47552201,958,30.85049100,298494.99864448,0
1591442700.0,9673.11000000,9673.12000000,9667.00000000,9670.00000000,36.32021800,1591442999999,351224.23438642,674,12.15431800,117536.26813509,0
1591443000.0,9670.00000000,9677.28000000,9667.28000000,9671.10000000,47.05406000,1591443299999,455131.50933469,813,22.88281900,221339.38103292,0
1591443300.0,9670.89000000,9680.00000000,9670.89000000,9675.00000000,57.23213400,1591443599999,553715.74503851,917,17.43680500,168711.64938467,0
1591443600.0,9675.00000000,9686.99000000,9665.06000000,9686.00000000,142.81182100,1591443899999,1381573.17306205,1711,60.10417800,581591.51990409,0
1591443900.0,9686.00000000,9699.00000000,9683.87000000,9686.69000000,134.86625800,1591444199999,1307204.87288240,1959,72.07723800,698627.69101969,0
1591444200.0,9686.72000000,9695.00000000,9672.12000000,9679.00000000,85.83609500,1591444499999,831473.12394331,1471,46.04699600,446084.90347639,0
1591444500.0,9679.00000000,9693.86000000,9678.92000000,9693.85000000,61.45635400,1591444799999,595224.03629707,1016,30.31936400,293670.82935875,0
1591444800.0,9693.85000000,9735.00000000,9693.85000000,9722.37000000,488.38967200,1591445099999,4746091.71164903,5304,312.40517300,3035036.00379692,0
1591445100.0,9722.38000000,9733.00000000,9714.45000000,9727.00000000,155.34360000,1591445399999,1510754.20378499,2036,94.57880700,919851.11571282,0
1591445400.0,9726.01000000,9732.76000000,9713.22000000,9717.68000000,169.72421400,1591445699999,1650072.55307408,1953,95.94631100,932721.16251699,0
1591445700.0,9717.64000000,9730.00000000,9715.71000000,9725.29000000,115.11819500,1591445999999,1119506.23919623,1579,64.32579900,625578.89294803,0
1591446000.0,9725.28000000,9728.03000000,9701.92000000,9708.31000000,181.69603600,1591446299999,1764844.30912547,2234,106.24467300,1031959.56951176,0
1591446300.0,9708.30000000,9713.72000000,9694.73000000,9702.35000000,99.93625300,1591446599999,969596.69944206,1631,35.50472800,344483.29020911,0
1591446600.0,9702.35000000,9709.69000000,9682.29000000,9690.47000000,192.07858500,1591446899999,1862509.26017098,2217,55.69301800,540214.83654702,0
1591446900.0,9689.78000000,9690.47000000,9633.00000000,9662.34000000,551.51148700,1591447199999,5325190.50251760,5304,204.57970400,1974994.58802819,0
1591447200.0,9660.96000000,9672.11000000,9650.80000000,9659.54000000,235.77476900,1591447499999,2277681.59335356,2907,121.96619900,1178438.04398257,0
1591447500.0,9659.40000000,9664.74000000,9643.50000000,9659.43000000,204.40763300,1591447799999,1973129.26547442,2547,96.58070200,932391.24404077,0
1591447800.0,9659.44000000,9662.64000000,9649.07000000,9649.57000000,145.52775700,1591448099999,1405146.31101945,2190,68.86979100,665038.14117175,0
1591448100.0,9650.00000000,9657.84000000,9640.99000000,9648.06000000,138.02997500,1591448399999,1332295.75057989,2057,56.24579100,542922.63799352,0
1591448400.0,9647.80000000,9661.95000000,9647.08000000,9657.66000000,97.25072200,1591448699999,939213.34077820,1412,51.82423400,500485.88825455,0
1591448700.0,9657.66000000,9664.98000000,9655.00000000,9663.00000000,78.54028900,1591448999999,758727.47432419,1330,42.51681900,410713.58160937,0
1591449000.0,9663.00000000,9671.91000000,9658.78000000,9662.32000000,72.66699700,1591449299999,702468.91929834,1448,36.89774800,356684.09704046,0
